Samra (SEPGCO),Amman East (IPP1),Qatrana (IPP2),Zarqa (ACWA),IPP4 (Levant),IPP3 (Amman Asia),Rehab,Risha,Aqaba steam
1095.8644986256575,369.97989473454135,371.00470172700574,0.0,0.0,0.0,65.0,35.0,55.0
1085.5339573246947,366.5406586244072,367.60324510444497,0.0,0.0,0.0,65.0,35.0,55.0
1129.568998607293,380.0,373.0,0.0,0.0,0.0,65.0,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,118.96101332208964,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,221.22458516082136,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,297.0,35.0,101.89743302025853
1150.0,380.0,373.0,0.0,0.0,0.0,297.0,35.0,178.07047635716904
1150.0,380.0,373.0,0.0,250.0,0.0,249.72395897325427,35.0,55.0
1150.0,380.0,373.0,0.0,250.0,0.0,297.0,35.0,165.6358877691299
1150.0,380.0,373.0,0.0,250.0,551.8511056655524,65.0,35.0,55.0
1150.0,380.0,373.0,0.0,250.0,538.3308449666652,65.0,35.0,55.0
1150.0,380.0,373.0,0.0,250.0,445.98718128297105,65.0,35.0,55.0
1150.0,380.0,373.0,0.0,245.495428283591,204.86049528816764,65.0,35.0,55.0
1057.1325013275045,357.08526706260966,358.25171958631876,0.0,157.27350455195452,143.25,65.0,35.0,55.0
1011.2314200515717,341.8039132962122,343.13822917568854,0.0,148.359381521556,0.0,65.0,35.0,55.0
917.1570375554334,310.48473999314996,312.16309224603117,0.0,130.08986376143636,0.0,65.0,35.0,55.0
855.58983460308,289.987832674851,291.8913403490316,0.0,118.13333449242862,0.0,65.0,35.0,55.0
810.6052604381601,275.011601772741,277.07962107425544,0.0,112.5,0.0,65.0,35.0,55.0
866.8660669505332,293.7419075433199,295.6041772738696,0.0,0.0,0.0,65.0,35.0,55.0
879.789959952721,298.04452036889296,299.8595265494648,0.0,0.0,0.0,65.0,35.0,55.0
902.1493927236011,305.4884060615586,307.221642285658,0.0,0.0,0.0,65.0,35.0,55.0
996.2591793293428,336.8193660744018,338.2084364498753,0.0,0.0,0.0,65.0,35.0,55.0
1088.7722975543938,367.6187644400088,368.66950809101166,0.0,0.0,0.0,65.0,35.0,55.0
1103.9178804062597,372.66102059441886,373.0,0.0,0.0,0.0,65.0,35.0,55.0
1083.8920766433648,365.9940449317408,367.06263588037234,0.0,0.0,0.0,65.0,35.0,55.0
1081.0879101138003,365.0604839007802,366.13932987588817,0.0,0.0,0.0,65.0,35.0,55.0
